,Retailer,Retailer ID,Invoice Date,Region,State_name,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,State
0,Foot Locker,1185732,01-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,In-store,NY
1,Foot Locker,1185732,02-01-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,0.3,In-store,PA
2,Foot Locker,1185732,03-01-2020 00:00,Northeast,New York,New York,Women's Street Footwear,40,1000,400000,140000,0.35,In-store,NY
3,Foot Locker,1185732,04-01-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,45,850,382500,133875,0.35,In-store,PA
4,Foot Locker,1185732,05-01-2020 00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,In-store,NY
5,Foot Locker,1185732,06-01-2020 00:00,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.25,In-store,PA
6,Foot Locker,1185732,07-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,50,1250,625000,312500,0.5,In-store,NY
7,Foot Locker,1185732,08-01-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet,PA
8,Foot Locker,1185732,21-01-2020 00:00,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet,NY
9,Foot Locker,1185732,22-01-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.5,0.35,Outlet,PA
10,Foot Locker,1185732,23-01-2020 00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,NY
11,Foot Locker,1185732,24-01-2020 00:00,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,0.25,Outlet,PA
12,Foot Locker,1185732,25-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,50,1220,610000,305000,0.5,Outlet,NY
13,Foot Locker,1185732,26-01-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,50,925,462500,138750,0.3,Outlet,PA
14,Foot Locker,1185732,27-01-2020 00:00,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,0.35,Outlet,NY
